"ITEMID", "TITLE", "TYPE", "confname", "DATE", "ISSN", "ISBN", "DOI", "URL", "PUB", "ISSUE", "VOLUME", "SERIES", "PAGES", "PUBLISHER", "PLACE", "PROCEEDINGS", "BOOK", "UNIVERSITY", "ARCHIVE_NAME", "ARCHIVE_LOCATION", "ABSTRACT", "AUTHOR_1_FIRST", "AUTHOR_1_LAST", "AUTHOR_1_SHORT", "AUTHOR_1_TYPE", "AUTHOR_2_FIRST", "AUTHOR_2_LAST", "AUTHOR_2_SHORT", "AUTHOR_2_TYPE", "AUTHOR_3_FIRST", "AUTHOR_3_LAST", "AUTHOR_3_SHORT", "AUTHOR_3_TYPE", "AUTHOR_4_FIRST", "AUTHOR_4_LAST", "AUTHOR_4_SHORT", "AUTHOR_4_TYPE", "AUTHOR_5_FIRST", "AUTHOR_5_LAST", "AUTHOR_5_SHORT", "AUTHOR_5_TYPE", "TAG_1", "TAG_2", "TAG_3", "TAG_4", "DATE_ADDED", "DATE_MODIFIED", "ZOTERO_KEY", "EXTRA"
"251", "Google Knows Who is Famous Today–Building an Ontology from Search Engine Knowledge and DBpedia", "conferencePaper", "ICSC", "2011-00-00 2011", "", "", "", "", "", "", "", "", "320–327", "", "", "Semantic Computing (ICSC), 2011 Fifth IEEE International Conference on", "", "", "", "", "", "C.", "Ochs", "", "author", "T.", "Tian", "", "author", "J.", "Geller", "", "author", "S.", "Chun", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:20:37", "2012-06-01 22:37:44", "I5JPWHKQ", ""
"252", "Generating Educational Assessment Items from Linked Open Data: The Case of DBpedia", "conferencePaper", "ESWC", "2011-00-00 2011", "", "", "", "", "", "", "", "", "16–27", "", "", "The Semantic Web: ESWC 2011 Workshops", "", "", "", "", "", "M.", "Foulonneau", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:37", "2012-06-01 22:37:16", "97MRGVK3", ""
"253", "Towards a Korean DBpedia and an Approach for Complementing the Korean Wikipedia based on DBpedia", "conferencePaper", "OKCon", "2010-00-00 2010", "", "", "", "", "", "", "", "", "", "", "", "Proceedings of the 5th Open Knowledge Conference", "", "", "", "", "", "E.", "Kim", "", "author", "M.", "Weidl", "", "author", "K. S", "Choi", "", "author", "S.", "Auer", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:20:37", "2012-06-01 23:57:04", "EJXQ4EU8", ""
"261", "Web data fusion in the Wikipedia/DBpedia domain", "conferencePaper", "IFIP", "2009-00-00 2009", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "E.", "TACCHINI", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:20:54", "2012-06-21 18:14:57", "A6R8T74R", ""
"282", "Type inference through the analysis of Wikipedia links", "conferencePaper", "LDOW", "2012-00-00 2012", "", "", "", "http://data.semanticweb.org/workshop/ldow/2012/paper/30", "", "", "", "", "", "", "", "LDOW 2012 : linked Data on the web (LDOW2012)", "", "", "", "", "DBpedia contains millions of untyped entities, either if we consider the native DBpedia ontology, or Yago plus WordNet. Is it possible to automatically classify those entities? Based on previous work on wikilink invariances, we wondered if wikilinks convey a knowledge rich enough for their classification.In this paper we give three contributions. Concerning the DBpedia link structure, we describe some measurements and notice both problems (e.g. the bias that could be induced by the incomplete ontological coverage of the DBpedia ontology), and potentials existing in current type coverage. Concerning classification, we present two techniques that exploit wikilinks, one based on induction from machine learning techniques, and the other on abduction. Finally, we discuss the limited results of classification, which confirmed our fears expressed in the description of general figures from the measurement. We also suggest some new possible approaches to entity classification that could be taken, based on more solid grounds.", "Andrea", "Nuzzolese", "", "author", "Aldo", "Gangemi", "", "author", "Valentina", "Presutti", "", "author", "Paolo", "Ciancarini", "", "author", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-02 00:02:00", "RXZTG7QR", ""
"285", ":me owl:sameAs flickr:33669349@N00 .", "conferencePaper", "LDOW", "2008-00-00 2008", "", "", "", "http://data.semanticweb.org/workshop/LDOW/2008/paper/16", "", "", "", "", "", "", "", "Linked Data on the Web (LDOW2008)", "", "", "", "", "In order to release the Social Semantic Web and solve data-portability issues, there is a need from Web 2.0 providers to open their data and deliver it in machine-redeable way. Modeling it with vocabularies as FOAF, SIOC, as well as reusing data from the Linked Data initiative as DBpedia or geonames.org can help to achieve this task.The goal of this demo is to showcase a RDF exporter for Flickr profiles that acts such a way.", "", "Alexandre Passant", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-21 18:30:15", "APPCBBGZ", ""
"286", "URI Disambiguation in the Context of Linked Data", "conferencePaper", "LDOW", "2008-00-00 2008", "", "", "", "http://data.semanticweb.org/workshop/LDOW/2008/paper/5", "", "", "", "", "", "", "", "Linked Data on the Web (LDOW2008)", "", "", "", "", "The Linked Data initiative has given rise to an increasing number of RDF datasets, many of which are freely accessible online. These resources often arise as a result of database exports; however sufficient consideration may not be given to the unseen implications caused when they are used in the wider context of the Semantic Web. This paper investigates two popular resources, DBLP and DBpedia, and discusses whether the issues regarding identity management and co-reference resolution have been suitably addressed. We find that a large percentage of authors in DBLP have been conflated, and that disambiguation pages have been incorrectly linked using owl:sameAs within DBpedia. Systems for dealing with these issues are presented, and directions are given for future research.", "", "Afraz Jaffri", "", "author", "", "Hugh Glaser", "", "author", "", "Ian Millard", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-02 00:05:41", "JHTM6INB", ""
"288", "XSLT+SPARQL: Scripting the Semantic Web with SPARQL embedded into XSLT stylesheets", "conferencePaper", "SFSW", "2008-00-00 2008", "", "", "", "http://data.semanticweb.org/workshop/scripting/2008/paper/1", "", "", "", "", "", "", "", "4th Workshop on Scripting for the Semantic Web (SFSW2008)", "", "", "", "", "Scripting the Semantic Web requires to access and transform RDF data. We present XSLT+SPARQL, a set of extension functions for XSLT which allow stylesheets to directly access RDF data, independently of any serialization syntax, by means of SPARQL queries. Using these functions, XSLT stylesheets can retrieve, query, merge and transform data from the semantic web. We illustrate the functionality of our proposal with an example script which creates XHTML pages from the contents of DBpedia.", "", "Diego Berrueta", "", "author", "", "Jose E. Labra", "", "author", "", "Ivan Herman", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-02 00:11:52", "FV9BFTTZ", ""
"289", "Learning of OWL Class Descriptions on Very Large Knowledge Bases", "conferencePaper", "ISWC", "2008-00-00 2008", "", "", "", "http://data.semanticweb.org/conference/iswc/2008/paper/poster_demo/83", "", "", "", "", "", "", "", "7th International Semantic Web Conference (ISWC2008)", "", "", "", "", "The vision of the Semantic Web is to make use of semantic representations on the largest possible scale - the Web. Large knowledge bases such as DBpedia, OpenCyc, GovTrack, and others are emerging and are freely available as Linked Data and SPARQL endpoints. Exploring and analysing such knowledge bases is a significant hurdle for Semantic Web research and practice. As one possible direction for tackling this problem, we present an approach for obtaining complex class descriptions from objects in knowledge bases by using Machine Learning techniques. We describe how we leverage existing techniques to achieve scalability on large knowledge bases available as SPARQL endpoints or Linked Data. Our algorithms are made available in the open source DL-Learner project and can be used in real-life scenarios by Semantic Web applications.", "", "Sebastian Hellmann", "", "author", "", "Jens Lehmann", "", "author", "", "Sören Auer", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:10:30", "KAWT29A4", ""
"295", "Interactive Relationship Discovery via the Semantic Web", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "http://data.semanticweb.org/conference/eswc/2010/paper/inuse/31", "", "", "", "", "", "", "", "7th Extended Semantic Web Conference (ESWC2010)", "", "", "", "", "This paper presents an approach for the interactive discovery of relationships between selected elements via the Semantic Web. It fills the gap between algorithms that find relationships in datasets of the Semantic Web and their efficient usage in real-world contexts. Selected elements are first semi-automatically mapped to unique objects of Semantic Web datasets. These datasets are then crawled for relationships which are presented both, in detail and overview. Interactive features and visual clues allow for sophisticated exploration of the found relationships on different levels. The general process is described and the RelFinder tool as a concrete implementation and proof-of-concept is presented. The benefits and application potentials are illustrated by a scenario which uses the RelFinder and DBpedia to assist a business analyst in decision-making. Finally, the approach is evaluated in a user study, and discussed and compared with related work.", "", "Philipp Heim", "", "author", "", "Steen Lohmann", "", "author", "", "Timo Stegemann", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:08:08", "6ES5K2ZB", ""
"296", "Replication and Versioning of Partial RDF Graphs", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "http://data.semanticweb.org/conference/eswc/2010/paper/mobility/6", "", "", "", "", "", "", "", "7th Extended Semantic Web Conference (ESWC2010)", "", "", "", "", "The sizes of datasets available as RDF (e.g., as part of the Linked Data cloud) are increasing continuously. For instance, the recent DBpedia version consists of nearly 500 millions triples. A common strategy to avoid problems that arise e.g., from limited network connectivity or lack of bandwidth is to replicate data locally, therefore making them accessible for applications without depending on a network connection. For mobile devices with limited capabilities, however, the replication and synchronization of billions of triples is not feasible. To overcome this problem, we propose an approach to replicate parts of an RDF graph to a client. Applications may then apply changes to this partial replica while being offline; these changes are written back to the original data source upon reconnection. Our approach does not require any kind of additional logic (e.g., change logging) or data structures on the client side, and hence is suitable to be applied on devices with limited computing power and storage capacity.", "", "Bernhard Schandl", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:37:57", "75XMDSVI", ""
"297", "Using social media for ontology enrichment", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "http://data.semanticweb.org/conference/eswc/2010/paper/social_web/29", "", "", "", "", "", "", "", "7th Extended Semantic Web Conference (ESWC2010)", "", "", "", "", "In order to support informal learning, we complement the formal knowledge represented by ontologies developed by domain experts with the informal knowledge emerging from social tagging. To this end, we have developed an ontology enrichment pipeline that can automatically enrich a domain ontology using: data extracted by a crawler from social media applications, similarity measures, the DBpedia knowledge base, a disambiguation algorithm and several heuristics. The main goal is to provide dynamic and personalized domain ontologies that include the knowledge of the community of users. They will support a more personalized learning experience able to fulfill the needs of different types of learners.", "", "Paola Monachesi", "", "author", "", "Thomas Markus", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-02 00:08:10", "FNP9CVG8", ""
"298", "The Impact of Multifaceted Tagging on Learning Tag Relations and Search", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "http://data.semanticweb.org/conference/eswc/2010/paper/social_web/4", "", "", "", "", "", "", "", "7th Extended Semantic Web Conference (ESWC2010)", "", "", "", "", "In this paper we present a model for multifaceted tagging, i.e. tagging enriched with contextual information. We present TagMe!, a social tagging front-end for Flickr images, that provides multifaceted tagging functionality: It enables users to attach tag assignments to a specific area within an image and to categorize tag assignments. Moreover, TagMe! automatically maps tags and categories to DBpedia URIs to clearly define the meaning of freely-chosen words. Our experiments reveal the benefits of those additional tagging facets. For example, the exploitation of those facets significantly improves the performance of FolkRank-based search. Further, we demonstrate the benefits of TagMe! tagging facets for learning semantics within folksonomies.", "", "Fabian Abel", "", "author", "", "Nicola Henze", "", "author", "", "Ricardo Kawase", "", "author", "", "Daniel Krause", "", "author", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:54:03", "UNAK9UW2", ""
"299", "Object Link Structure in the Semantic Web", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "http://data.semanticweb.org/conference/eswc/2010/paper/web_of_data/8", "", "", "", "", "", "", "", "7th Extended Semantic Web Conference (ESWC2010)", "", "", "", "", "Lots of RDF data have been published in the Semantic Web. The RDF data model, together with the decentralized linkage nature of the Semantic Web, brings object link structure to the worldwide scope. Object links are critical to the Semantic Web and the macroscopic properties of object links are helpful for better understanding the current Data Web. In this paper, we propose a notion of object link graph (OLG) in the Semantic Web, and analyze the complex network structure of an OLG constructed from the latest dataset (FC09) collected by Falcons. We find that the OLG has the scale-free nature and the effective diameter of the graph is small compared to its scale. By another experimental result on the last year”s dataset (FC08), we confirm our findings and observe that the object link graph is becoming denser and its diameter is shrinking during the past year, which indicates a good evolution of the Data Web. Finally, we repeat the complex network analysis on the two largest domain-specific subsets of FC09, namely Bio2RDF(FC09) and DBpedia(FC09). The results show that both Bio2RDF(FC09) and DBpedia(FC09) have low density in object links, which has great influence on the density of object links in FC09.", "", "Weiyi Ge", "", "author", "", "Jianfeng Chen", "", "author", "", "Wei Hu", "", "author", "", "Yuzhong Qu", "", "author", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:27:54", "8WP5PM96", ""
"300", "CoSi: Context-Sensitive Keyword Query Interpretation on RDF Databases", "conferencePaper", "WWW", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/www/2011/demo/cosi-context-sensitive-keyword-query-interpretatio", "", "", "", "", "209", "", "", "20th International World Wide Web Conference (WWW2011)", "", "", "", "", "The demo will present CoSi, a system that enables context-sensitive interpretation of keyword queries on RDF databases. The techniques for representing, managing and exploiting query history are central to achieving this objective. The demonstration will show the effectiveness of our approach for capturing a user's querying context from their query history. Further, it will show how context is utilized to influence the interpretation of a new query. The demonstration is based on DBPedia, the RDF representation of Wikipedia.", "Haizhou", "Fu", "", "author", "Sidan", "Gao", "", "author", "Kemafor", "Anyanwu", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 21:22:20", "ENE7CTGT", ""
"302", "AutoSPARQL: Let Users Query Your Knowledge Base", "conferencePaper", "ESWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/eswc/2011/paper/inductive-approaches/6", "", "", "", "", "", "", "", "8th Extended Semantic Web Conference (ESWC2011)", "", "", "", "", "An advantage of Semantic Web standards like RDF and OWL is their flexibility in modifying the structure of a knowledge base. To turn this flexibility into a practical advantage, it is of high importance to have tools and methods, which offer similar flexibility in extracting information from a knowledge base. This is closely related to the ability to easily formulate queries over those knowledge bases. We explain benefits and drawbacks of existing techniques in achieving this goal and then present the QTL algorithm, which fills a gap in research and practice. It uses supervised machine learning and allows users to ask queries without knowing the schema of the underlying knowledge base beforehand and without expertise in the SPARQL query language. We then present the AutoSPARQL user interface, which implements an active learning approach on top of QTL. Finally, we present an evaluation based on the SPARQL query log of the DBpedia knowledge base.", "Jens", "Lehmann", "", "author", "Lorenz", "Bühmann", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 21:10:26", "BTTNT7J5", ""
"303", "Statistical Schema Induction", "conferencePaper", "ESWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/eswc/2011/paper/linked-open-data/8", "", "", "", "", "", "", "", "8th Extended Semantic Web Conference (ESWC2011)", "", "", "", "", "While the realization of the Semantic Web as once envisioned by Tim Berners-Lee remains in a distant future, the Web of Data has already become a reality. Billions of RDF statements out there on the Internet, facts about a variety of different domains, are ready to be used by semantic applications. Some of these applications, however, crucially hinge on the availability of expressive schemas suitable for logical inference that yields non-trivial conclusions. In this paper, we present a statistical approach to the induction of expressive schemas from large RDF repositories. We describe in detail the implementation of this approach and report on an evaluation that we conducted using several data sets including DBpedia.", "Johanna", "Voelker", "", "author", "Mathias", "Niepert", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:51:59", "UBMT5D3F", ""
"304", "Lightweight Semantic Annotation of Geospatial RESTful Services", "conferencePaper", "ESWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/eswc/2011/paper/services/5", "", "", "", "", "", "", "", "()", "", "", "", "", "RESTful services are increasingly gaining traction over WS-* ones. As with WS-* services, their semantic annotation can provide benefits in tasks related to their discovery, composition and mediation. In this paper we present an approach to automate the semantic annotation of RESTful services using a cross-domain ontology, two semantic resources like DBpedia and GeoNames, and additional external resources (suggestion and synonym services). We also present a preliminary evaluation in the geospatial domain that proves the feasibility of our approach in a domain where RESTful services are increasingly appearing and highlights that it is possible to carry out this semantic annotation with satisfactory results.", "", "Victor Saquicela", "", "author", "", "Luis M. Vilches-Blazquez", "", "author", "", "Oscar Corcho", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 20:44:09", "32BM3KW8", ""
"305", "DC Proposal: Ontology Learning from Noisy Linked Data", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/doctoral-consortium/20", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "Mobile devices like smartphones together with social networks enable people to generate, share, and consume enormous amounts of media content. Common search operations, for example searching for a music clip based on artist name and song title on video platforms such as YouTube, can be achieved both based on potentially shallow human-generated metadata, or based on more profound content analysis, driven by Optical Character Recognition (OCR) or Automatic Speech Recognition (ASR). However, more advanced use cases, such as summaries or compilations of several pieces of media content covering a certain event, are hard, if not impossible to fulfill at large scale. One example of such event can be a keynote speech held at a conference, where, given a stable network connection, media content is published on social networks while the event is still going on.In our thesis, we develop a framework for media content processing, leveraging social networks, utilizing the Web of Data and fine-grained media content addressing schemes like Media Fragments URIs to provide a scalable and sophisticated solution to realize the above use cases: media content summaries and compilations. We evaluate our approach on the entity level against social media platform APIs in conjunction with Linked (Open) Data sources, comparing the current manual approaches against our semi-automated approach. Our proposed framework can be used as an extension for existing video platforms.", "", "Man Zhu", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 22:13:25", "9FS3J7SW", ""
"306", "NERD: A Framework for Evaluating Named Entity Recognition Tools in the Web of Data", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/poster-demo/35", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "In this paper, we present NERD, an evaluation framework we have developed that records and analyzes ratings of Named Entity (NE) extraction and disambiguation tools working on English plain text articles performed by human beings. NERD enables the comparison of different popular Linked Data entity extractors which expose APIs such as AlchemyAPI, DBPedia Spotlight, Extractiv, OpenCalais and Zemanta. Given an article and a particular tool, a user can assess the precision of the named entities extracted, their typing and linked data URI provided for disambiguation and their subjective relevance for the text. All user interactions are stored in a database. We propose the NERD ontology that deﬁnes mappings between the types detected by the diﬀerent NE extractors. The NERD framework enables then to visualize the comparative performance of these tools with respect to human assessment. Key words: Entity extraction, Linked Data, Natural Language Processing, Evaluation of Linked Data entity extraction tools 1", "", "Giuseppe Rizzo", "", "author", "", "Raphael Troncy", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:25:53", "8ZR7ASRT", ""
"307", "DBpedia internationalization - a graphical tool for I18n infobox-to-ontology mappings", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/poster-demo/36", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "During the past two decades, the use of the Web has spread across multiple countries and cultures. While the Semantic Web is already served in many languages, we are still facing challenges concerning its internationalization. The DBpedia project, a community eﬀort to extract structured information from Wikipedia, is already supporting multiple languages. This paper presents a graphical tool for creating internationalized mappings for DBpedia.", "", "Charalampos Bratsas", "", "author", "", "Lazaros Ioannidis", "", "author", "", "Lazaros Ioannidis", "", "author", "", "Sören Auer", "", "author", "", "Christian Bizer", "", "author", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 21:47:05", "VJBJBH4H", ""
"308", "TOPICA: A Tool for Visualising Emerging Semantics of POIs based on Social Awareness Streams", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/poster-demo/70", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "<i>Topica </i>is an application that enriches the Social Web with semantic data, to enable collective perception of Points of Interest (POIs), which are human constructs that describe information about locations (e.g., restaurants, attractions, cities). <i>Topica </i>provides an extra layer of information, compared to existing applications for browsing POIs, by modelling hidden characteristics of POIs, by: (1) generating a Linked Data representation of the collective perception of a POI; (2) enhancing the POI representation by mashing up services that enrich the POI’s related entities; and (3) providing a visual representation of the POIs adapted to suit userand context-sensitive ﬁlters. <i>Topica </i>identiﬁes topics relevant to a POI by extracting DBpedia categories from <i>entities </i>(e.g., People, Places) and <i>keywords</i> (e.g., Crete, Bonn) obtained from social awareness streams related to the POIs. <b>Key words: </b>Linked Data, Semantic Web, Point of Interest, Social Awareness Streams, citizen-sensing, social data mining, emerging semantics <b>1</b>", "", "A. Elizabeth Cano", "", "author", "", "Gregoire Burel", "", "author", "", "Aba-Sah Dadzie", "", "author", "", "Fabio Ciravegna", "", "author", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:56:34", "BKTWQF35", ""
"309", "Effectively Interpreting Keyword Queries on RDF Databases with a Rear View", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/research/325", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "Eﬀective techniques for keyword search over RDF databases incorporate an explicit interpretation phase that maps keywords in a keyword query to structured query constructs. Because of the ambiguity of keyword queries, it is often not possible to generate a unique interpretation for a keyword query. Consequently, heuristics geared toward generating the top-K likeliest user-intended interpretations have been proposed. However, heuristics currently proposed fail to capture any userdependent characteristics, but rather depend on database-dependent properties such as occurrence frequency of subgraph pattern connecting keywords. This leads to the problem of generating top-K interpretations that are not aligned with user intentions. In this paper, we propose a contextaware approach for keyword query interpretation that personalizes the interpretation process based on a user’s query context. Our approach addresses the novel problem of using a sequence of structured queries corresponding to interpretations of keyword queries in the query history as contextual information for biasing the interpretation of a new query. Experimental results presented over DBPedia dataset show that our approach outperforms the state-of-the-art technique on both eﬃciency and eﬀectiveness, particularly for ambiguous queries.", "", "Haizhou Fu", "", "author", "", "Kemafor Anyanwu", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 22:22:44", "8VMZE2QG", ""
"311", "Leveraging Community-built Knowledge for Type Coercion in Question Answering", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/semantic-web-in-use/18", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "Watson,  the  winner  of  the  Jeopardy!  challenge,  is  a  state-of-the-art \nopen-domain Question Answering system that  tackles  the  fundamental  issue  of \nanswer typing by using a novel type coercion (TyCor) framework, where candidate answers are initially produced without considering type information, and \nsubsequent stages check whether the candidate can be coerced into the expected \nanswer type. In this paper, we provide a high-level overview of the TyCor \nframework and discuss how it is integrated in Watson, focusing on and evaluating  three  TyCor  components  that  leverage the community built semi-structured \nand structured knowledge resources -- DBpedia (in conjunction with the YAGO \nontology), Wikipedia Categories and Lists. These resources complement each \nother well in terms of precision and granularity of type information, and \nthrough links to Wikipedia, provide coverage for a large set of instances", "", "Aditya Kalyanpur", "", "author", "", "J William Murdock", "", "author", "", "James Fan", "", "author", "", "Chris Welty", "", "author", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:14:32", "ETTEKCTW", ""
"312", "Zhishi.me - Weaving Chinese Linking Open Data", "conferencePaper", "ISWC", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/conference/iswc/2011/paper/semantic-web-in-use/70", "", "", "", "", "", "", "", "10th International Semantic Web Conference (ISWC2011)", "", "", "", "", "Linking Open Data (LOD) has become one of the most important community efforts to publish high-quality interconnected semantic data. Such data has been widely used in many applications to provide intelligent services like entity search, personalized recommendation and so on. While DBpedia, one of the LOD core data sources, contains resources described in multilingual versions and semantic data in English is proliferating, there is very few work on publishing Chinese semantic data. In this paper, we present Zhishi.me, the first effort to publish large scale Chinese semantic data and link them together as a Chinese LOD (CLOD). More precisely, we identify important structural features in three largest Chinese encyclopedia sites (i.e., Baidu Baike, Hudong Baike, and Chinese Wikipedia) for extraction and propose several data-level mapping strategies for automatic link discovery. As a result, the CLOD has more than 5 million distinct entities and we simply link CLOD with the existing LOD based on the multilingual characteristic of Wikipedia. Finally, we also introduce three Web access entries namely SPARQL endpoint, lookup interface and detailed data view, which conform to the principles of publishing data sources to LOD.", "", "Xing Niu", "", "author", "", "Xinruo Sun", "", "author", "", "Haofen Wang", "", "author", "", "Shu Rong", "", "author", "", "Guilin Qi", "", "author", "", "", "", "", "2012-05-29 21:07:48", "2012-06-02 00:12:56", "7P95GS6A", ""
"314", "Statistical Analysis of Web of Data Usage", "conferencePaper", "EvoDyn", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/workshop/evodyn/2011/paper/1", "", "", "", "", "", "", "", "Joint Workshop on Knowledge Evolution and Ontology Dynamics (EvoDyn2011)", "", "", "", "", "The Linked Data initiative gained momentum inside as well as outside of theresearch community. Thus, it is already an accepted research issue to investigate usage mining in the context ofthe Web of Data from various perspectives. We are currently working onan approach that applies such usage mining methods and analysis to support ontology and datasetmaintenance tasks. This paper presents one part of this work, namely a methodto detect errors or weaknesses within ontologies used for Linked Data populationbased on statistics and network visualizations. We contribute a detailed description of a log file preprocessing algorithm for Web of Data endpoints, a set of statistical measures that help to visualize different usage aspects, and an examplary analysis of one of the most prominent Linked Data set – DBpedia – aimed to show the feasibility and the potential of our approach.", "", "Markus Luczak-Rösch", "", "author", "", "Markus Bischo", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:51:45", "MIXP6Z27", ""
"315", "Linking Domain-Specific Knowledge to Encyclopedic Knowledge: an Initial Approach to Linked Data", "conferencePaper", "MSW", "2011-00-00 2011", "", "", "", "http://data.semanticweb.org/workshop/msw/2011/paper/3", "", "", "", "", "", "", "", "2nd Workshop on the Multilingual Semantic Web (MSW2011)", "", "", "", "", "Linked Data creates a shared information space by publishing andconnecting resources in the Semantic Web. However, the specification ofsemantic relationships between data sources is still a stumbling block. Onesolution is to enrich ontologies with multilingual and concept-orientedinformation. Usefully linking entities in the Semantic Web is thus facilitated bya semantic-oriented cross-lingual ontology mapping framework in whichknowledge representations are not restricted to a particular natural language.Accordingly, this paper describes a preliminary approach for integrating generalencyclopedic knowledge in DBpedia with EcoLexicon, a multilingualterminological knowledge base on the environment.", "", "Pilar León Araúz", "", "author", "", "Pamela Faber", "", "author", "", "Pedro J. Magaña Redondo", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:17:36", "97VVWG2K", ""
